"order_month","state","regional_revenue"
"2026-06-01 00:00:00+00","Maharashtra","656878.46"
"2026-06-01 00:00:00+00","Karnataka","501195.72"
"2026-06-01 00:00:00+00","Delhi","475253.12"
"2026-06-01 00:00:00+00","Gujarat","333176.40"
"2026-06-01 00:00:00+00","Tamil Nadu","332947.34"
"2026-06-01 00:00:00+00","Telangana","315760.04"
"2026-06-01 00:00:00+00","Uttar Pradesh","285907.96"
"2026-06-01 00:00:00+00","Rajasthan","262312.68"
"2026-06-01 00:00:00+00","West Bengal","220880.82"
"2026-06-01 00:00:00+00","Texas","184149.18"
"2026-06-01 00:00:00+00","Bihar","131381.20"
"2026-06-01 00:00:00+00","Haryana","128391.08"
"2026-06-01 00:00:00+00","Andhra Pradesh","104460.98"
"2026-06-01 00:00:00+00","Kerala","103918.18"
"2026-06-01 00:00:00+00","Chandigarh","82073.72"
"2026-06-01 00:00:00+00","Uttarakhand","78615.14"
"2026-06-01 00:00:00+00","Madhya Pradesh","72794.06"
"2026-06-01 00:00:00+00","California","60911.60"
"2026-06-01 00:00:00+00","Assam","59329.22"
"2026-06-01 00:00:00+00","Colorado","57810.56"
"2026-06-01 00:00:00+00","Punjab","50126.40"
"2026-06-01 00:00:00+00","Illinois","44185.10"
"2026-06-01 00:00:00+00","Oregon","38932.92"
"2026-06-01 00:00:00+00","Georgia","36980.76"
"2026-06-01 00:00:00+00","Washington","32191.58"
"2026-06-01 00:00:00+00","Odisha","28205.84"
"2026-06-01 00:00:00+00","New York","16629.30"
"2026-06-01 00:00:00+00","Massachusetts","13511.74"
"2026-06-01 00:00:00+00","Chhattisgarh","8785.10"
"2026-06-01 00:00:00+00","Florida","5661.64"
"2026-06-01 00:00:00+00","Jharkhand","1766.46"
"2026-05-01 00:00:00+00","Maharashtra","2708449.94"
"2026-05-01 00:00:00+00","Karnataka","1939004.08"
"2026-05-01 00:00:00+00","Delhi","1682617.66"
"2026-05-01 00:00:00+00","Gujarat","1493517.80"
"2026-05-01 00:00:00+00","Tamil Nadu","1419375.50"
"2026-05-01 00:00:00+00","Uttar Pradesh","1341447.64"
"2026-05-01 00:00:00+00","Telangana","1039415.86"
"2026-05-01 00:00:00+00","West Bengal","950652.64"
"2026-05-01 00:00:00+00","Rajasthan","617316.28"
"2026-05-01 00:00:00+00","Madhya Pradesh","570214.36"
"2026-05-01 00:00:00+00","Texas","473087.10"
"2026-05-01 00:00:00+00","Andhra Pradesh","460491.32"
"2026-05-01 00:00:00+00","Georgia","350803.62"
"2026-05-01 00:00:00+00","California","350726.54"
"2026-05-01 00:00:00+00","Punjab","345089.24"
"2026-05-01 00:00:00+00","Kerala","340024.54"
"2026-05-01 00:00:00+00","Bihar","280374.52"
"2026-05-01 00:00:00+00","Chandigarh","273993.20"
"2026-05-01 00:00:00+00","New York","225376.76"
"2026-05-01 00:00:00+00","Massachusetts","221061.50"
"2026-05-01 00:00:00+00","Uttarakhand","211110.12"
"2026-05-01 00:00:00+00","Washington","208503.20"
"2026-05-01 00:00:00+00","Haryana","153891.48"
"2026-05-01 00:00:00+00","Florida","148198.28"
"2026-05-01 00:00:00+00","Illinois","147160.02"
"2026-05-01 00:00:00+00","Colorado","141329.64"
"2026-05-01 00:00:00+00","Oregon","137130.46"
"2026-05-01 00:00:00+00","Chhattisgarh","124108.72"
"2026-05-01 00:00:00+00","Assam","105958.10"
"2026-05-01 00:00:00+00","Odisha","95067.44"
"2026-05-01 00:00:00+00","Jharkhand","49344.80"
"2026-04-01 00:00:00+00","Maharashtra","4649534.48"
"2026-04-01 00:00:00+00","Delhi","3168721.78"
"2026-04-01 00:00:00+00","Karnataka","2784612.76"
"2026-04-01 00:00:00+00","Gujarat","2313290.96"
"2026-04-01 00:00:00+00","Tamil Nadu","2219941.42"
"2026-04-01 00:00:00+00","Telangana","2219279.14"
"2026-04-01 00:00:00+00","Uttar Pradesh","1910709.90"
"2026-04-01 00:00:00+00","West Bengal","1453075.20"
"2026-04-01 00:00:00+00","Rajasthan","1158923.46"
"2026-04-01 00:00:00+00","Madhya Pradesh","1088144.26"
"2026-04-01 00:00:00+00","Texas","815111.86"
"2026-04-01 00:00:00+00","Andhra Pradesh","704762.54"
"2026-04-01 00:00:00+00","Punjab","595882.02"
"2026-04-01 00:00:00+00","Haryana","583300.42"
"2026-04-01 00:00:00+00","Kerala","513400.16"
"2026-04-01 00:00:00+00","Bihar","510519.64"
"2026-04-01 00:00:00+00","California","503121.48"
"2026-04-01 00:00:00+00","Chandigarh","501158.10"
"2026-04-01 00:00:00+00","Odisha","488190.94"
"2026-04-01 00:00:00+00","Oregon","449413.18"
"2026-04-01 00:00:00+00","Massachusetts","406183.44"
"2026-04-01 00:00:00+00","Jharkhand","332130.48"
"2026-04-01 00:00:00+00","Georgia","271107.22"
"2026-04-01 00:00:00+00","Florida","267225.90"
"2026-04-01 00:00:00+00","New York","262044.08"
"2026-04-01 00:00:00+00","Washington","250249.98"
"2026-04-01 00:00:00+00","Uttarakhand","205540.96"
"2026-04-01 00:00:00+00","Chhattisgarh","202761.18"
"2026-04-01 00:00:00+00","Assam","198869.24"
"2026-04-01 00:00:00+00","Colorado","196156.72"
"2026-04-01 00:00:00+00","Illinois","161119.56"
"2026-03-01 00:00:00+00","Maharashtra","2742965.84"
"2026-03-01 00:00:00+00","Delhi","1763054.42"
"2026-03-01 00:00:00+00","Karnataka","1374531.28"
"2026-03-01 00:00:00+00","Tamil Nadu","1316416.44"
"2026-03-01 00:00:00+00","Gujarat","1237455.42"
"2026-03-01 00:00:00+00","Telangana","1124499.50"
"2026-03-01 00:00:00+00","Uttar Pradesh","883801.58"
"2026-03-01 00:00:00+00","West Bengal","845062.34"
"2026-03-01 00:00:00+00","Rajasthan","651334.20"
"2026-03-01 00:00:00+00","Kerala","572215.50"
"2026-03-01 00:00:00+00","Andhra Pradesh","540192.06"
"2026-03-01 00:00:00+00","Madhya Pradesh","438910.46"
"2026-03-01 00:00:00+00","Texas","399309.50"
"2026-03-01 00:00:00+00","Bihar","390106.68"
"2026-03-01 00:00:00+00","Oregon","381436.78"
"2026-03-01 00:00:00+00","California","347638.92"
"2026-03-01 00:00:00+00","Punjab","326726.66"
"2026-03-01 00:00:00+00","Washington","289175.82"
"2026-03-01 00:00:00+00","Massachusetts","265495.28"
"2026-03-01 00:00:00+00","Haryana","229898.52"
"2026-03-01 00:00:00+00","New York","218101.18"
"2026-03-01 00:00:00+00","Florida","215284.66"
"2026-03-01 00:00:00+00","Colorado","157884.60"
"2026-03-01 00:00:00+00","Chandigarh","153941.18"
"2026-03-01 00:00:00+00","Georgia","146527.54"
"2026-03-01 00:00:00+00","Illinois","137240.20"
"2026-03-01 00:00:00+00","Jharkhand","136024.06"
"2026-03-01 00:00:00+00","Odisha","109636.16"
"2026-03-01 00:00:00+00","Uttarakhand","107156.84"
"2026-03-01 00:00:00+00","Assam","76911.96"
"2026-03-01 00:00:00+00","Chhattisgarh","28126.48"
